project,datetime,siteId,rType,rep,sublocation,SN,condUncal,tempC,SpC,wetdry,qual_rating,QAQC,year
AIMS,2023-05-10T19:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T19:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T19:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T19:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T20:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T20:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T20:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T20:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T21:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T21:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T21:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T21:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T22:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T22:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T22:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T22:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T23:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T23:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T23:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T23:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T00:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T00:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T00:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T00:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T01:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T01:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T01:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T01:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T02:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.934,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T02:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.934,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T02:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.934,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T02:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,5.037,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T03:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,5.037,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T03:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,5.037,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T03:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,5.037,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T03:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,5.141,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T04:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,5.141,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T04:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,5.141,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T04:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,5.141,5.935467916,1,excellent,NA,2023
AIMS,2023-05-11T04:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,5.244,5.935467916,1,excellent,NA,2023
